data;

set NODES := N1 N2 N3 N4 N5 N6 N7 N8 N9 N10 N11 N12 ;

set ARCS := A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 A13 A14 A15 A16 A17 A18 A19 A20 A21 A22 A23 A24 A25 A26 A27 A28 A29 A30 A31 A32 A33 A34 A35 A36 A37 A38 A39 A40 A41 A42 A43 A44 A45 A46 A47 A48 A49 A50 A51 A52 A53 A54 A55 A56 A57 A58 A59 A60 A61 A62 A63 A64 A65 A66 ;

param: cost basecap arc_source arc_target :=
	A1 1 4 1 2
	A2 4 7 1 3
	A3 5 6 1 4
	A4 4 3 1 5
	A5 9 8 1 6
	A6 9 4 1 7
	A7 5 4 1 8
	A8 4 2 1 9
	A9 7 5 1 10
	A10 2 1 1 11
	A11 8 6 1 12
	A12 2 3 2 3
	A13 7 7 2 4
	A14 8 1 2 5
	A15 5 5 2 6
	A16 7 5 2 7
	A17 7 2 2 8
	A18 3 5 2 9
	A19 5 6 2 10
	A20 5 3 2 11
	A21 5 2 2 12
	A22 7 7 3 4
	A23 3 8 3 5
	A24 5 5 3 6
	A25 3 4 3 7
	A26 5 2 3 8
	A27 6 8 3 9
	A28 1 6 3 10
	A29 6 4 3 11
	A30 4 4 3 12
	A31 4 7 4 5
	A32 6 8 4 6
	A33 4 2 4 7
	A34 7 7 4 8
	A35 9 3 4 9
	A36 1 3 4 10
	A37 6 7 4 11
	A38 5 8 4 12
	A39 1 1 5 6
	A40 2 3 5 7
	A41 9 8 5 8
	A42 6 6 5 9
	A43 3 8 5 10
	A44 9 4 5 11
	A45 5 8 5 12
	A46 9 3 6 7
	A47 6 6 6 8
	A48 4 6 6 9
	A49 7 6 6 10
	A50 10 5 6 11
	A51 1 4 6 12
	A52 1 4 7 8
	A53 3 8 7 9
	A54 10 1 7 10
	A55 8 7 7 11
	A56 9 4 7 12
	A57 7 6 8 9
	A58 3 5 8 10
	A59 4 3 8 11
	A60 1 8 8 12
	A61 7 7 9 10
	A62 10 8 9 11
	A63 9 4 9 12
	A64 5 3 10 11
	A65 5 8 10 12
	A66 4 1 11 12
	;

set COMM := C1 ;

param: comm_source comm_target comm_demand :=
	C1 12 6 1
	;

